method,split,key,source_session,source_event_id,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,train,cam0-1_02:25,cam0-1_02,25,25,1,6.183941290183626,0.755692745668055,18,257.4726767725085,3.7820678997702695,
shah,train,cam0-1_02:26,cam0-1_02,26,26,1,2.0814853837257417,0.2850712135531563,36,172.26906487448818,2.1875218403639116,
shah,train,cam0-1_02:27,cam0-1_02,27,27,1,0.8643320532983232,0.21197025723244758,40,132.9975586099445,1.8234415168161036,
shah,train,cam0-1_02:29,cam0-1_02,29,29,1,1.032527244727095,0.7944725799143654,10,37.91328555415525,1.947133420034571,
shah,train,cam1-3_02:0,cam1-3_02,0,70,1,1.5514330546986224,0.41438780460555025,38,229.30580950226198,2.4564941294361486,
shah,train,cam1-3_02:1,cam1-3_02,1,71,1,1.2754929490082212,0.29215777383820246,34,141.68588512588354,2.041379904737764,
shah,train,cam1-3_02:3,cam1-3_02,3,73,1,1.101731186485149,0.19217125336427854,30,74.60210041448161,1.5769390224364164,
shah,train,cam1-3_02:4,cam1-3_02,4,74,1,2.0753854448705455,0.4565095311088805,40,165.81966664678137,2.036048051046324,
shah,train,cam1-3_02:5,cam1-3_02,5,75,1,2.1717626531892975,0.5181077712459331,40,236.6341090601802,2.43225260335034,
shah,train,cam1-3_02:7,cam1-3_02,7,77,1,1.1477435487688317,0.46320489213849014,40,189.19417855813185,2.1748228580629956,
shah,train,cam1-3_02:8,cam1-3_02,8,78,1,2.051862840830976,0.655215350333316,34,264.717167702175,2.790304472645229,
shah,train,cam1-3_02:9,cam1-3_02,9,79,1,1.3498358410292743,0.7047533991402243,36,148.21646505973965,2.0290697448429937,
shah,train,cam1-3_02:11,cam1-3_02,11,81,1,1.162248599466263,0.5192275802122057,40,182.22721085712453,2.13440396163147,
shah,train,cam1-3_02:12,cam1-3_02,12,82,1,1.4390416977706633,0.5843140847112358,27,157.9619929401823,2.41876914627455,
shah,train,cam1-3_02:13,cam1-3_02,13,83,1,0.7218312792364185,0.300033312929093,36,52.35266954600508,1.2059190771865098,
shah,train,cam1-3_02:15,cam1-3_02,15,85,1,1.8648663542905195,0.26020432561980866,31,21.994394609549044,0.8423162115904179,
shah,train,cam1-3_02:16,cam1-3_02,16,86,1,2.0117596899071866,0.8439428276869729,32,36.42458776709864,1.0668966059191642,
shah,train,cam1-3_02:17,cam1-3_02,17,87,1,0.9464924295812743,0.2628533183221981,23,33.62303194231808,1.2090785557662618,
shah,train,cam1-3_02:19,cam1-3_02,19,89,1,0.7373881107171469,0.5275858759806868,30,88.58273724541914,1.7183590742858834,
shah,train,cam1-3_02:20,cam1-3_02,20,90,1,1.1991692786108163,0.5877506219492072,34,58.29349271706331,1.309394704311245,
shah,train,cam1-3_02:21,cam1-3_02,21,91,1,1.8132038548642861,0.7593231074333853,38,158.19297388255754,2.0403364910988113,
shah,train,cam1-3_02:23,cam1-3_02,23,93,1,1.6758166245222776,0.5284758063795892,38,112.66917506975597,1.721911232122425,
shah,train,cam1-3_02:24,cam1-3_02,24,94,1,1.720182680245512,0.19691243444968973,33,33.072694553973676,1.0011008267262242,
shah,train,cam1-3_02:25,cam1-3_02,25,95,1,1.5880312107599046,0.36489069127354906,40,71.20597100748535,1.3342223484813667,
shah,train,cam1-3_02:27,cam1-3_02,27,97,1,2.1295959530030206,0.5074003565625789,32,83.23304720541947,1.612771752347293,
shah,train,cam1-3_02:28,cam1-3_02,28,98,1,2.028371184028783,0.2694022747453886,30,68.2958336498334,1.5088166847989786,
shah,train,cam1-3_02:29,cam1-3_02,29,99,1,1.409187660554212,0.3480419678514606,36,99.76885279098144,1.6647393255316902,
shah,train,cam1-3_02:32,cam1-3_02,32,102,1,1.3933578257673267,0.22847695576614813,14,25.362825216111744,1.3459681915184365,
shah,train,cam1-3_02:33,cam1-3_02,33,103,1,2.7326079909850236,0.29273832751256773,26,13.099295944429803,0.7098021377720426,
shah,train,cam1-3_02:36,cam1-3_02,36,106,1,3.0547741193175604,0.1641502523807211,18,16.96723248037646,0.9708882668400011,
shah,train,cam1-3_02:37,cam1-3_02,37,107,1,1.9263278618468338,0.35738862589417436,13,26.421637418902158,1.4256344719484928,
