method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,camera_pose_translation_mm,camera_pose_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
andreff,prior_comparison,9,2,0.5789402390970307,0.344567457051608,1.5302709908126946,0.34456745705160535,60,191.67535115820405,1.7873413736525172,
andreff,prior_comparison,9,3,245.27706753054338,2.423369264418328,242.8337203651098,2.423369264418328,39,6578181.383094271,410.6961376921357,
andreff,prior_comparison,12,0,87.84482138050622,6.468633821167375,27.112274129249478,6.468633821167374,46,711788.4349219191,124.39317356164435,
andreff,prior_comparison,12,1,66.36680176406223,23.193559377702883,327.3878427213118,23.193559377702883,20,599424.0024081222,173.12192270306528,
andreff,prior_comparison,12,2,1.7953428156283269,0.26451189388000207,2.8085057030379885,0.26451189388000235,60,42.493578323187506,0.8415618250529538,
andreff,prior_comparison,12,3,245.32387761885116,2.397321734293435,242.73616388701492,2.397321734293435,36,6135888.035659182,412.84541213857057,
daniilidis,prior_comparison,2,0,83.22170739845691,6.314143994412217,21.222943862442648,6.314143994412216,54,803975.2968045322,122.01816021521613,
daniilidis,prior_comparison,2,1,86.15606430236983,23.236544666017945,329.4922314510593,23.23654466601795,14,308824.2983771398,148.52231635518612,
daniilidis,prior_comparison,2,2,1.3486443610990577,0.06946403326727606,1.486211244163047,0.06946403326727635,60,285.15184475510216,2.1800299873897075,
daniilidis,prior_comparison,2,3,68.33102429821693,1.8411412671853207,68.23882308493636,1.8411412671853218,40,470672.31845449854,108.4749185819582,
daniilidis,prior_comparison,5,0,83.21917828267736,6.324448052492482,21.05319525307882,6.324448052492483,45,667751.9428071245,121.81515530663886,
daniilidis,prior_comparison,5,1,88.44757840309634,23.274524629066406,328.9785065275937,23.274524629066402,12,275371.25705515675,151.48466838131307,
daniilidis,prior_comparison,5,2,5.6507223529242046,1.2212628504590377,11.267842056501634,1.2212628504590384,58,704.8072163527839,3.4859501657090024,
daniilidis,prior_comparison,5,3,68.23403412958916,1.8514199576970862,67.61777441121367,1.8514199576970867,37,441423.7257275967,109.22623753297887,
daniilidis,prior_comparison,9,0,83.20710068353118,6.322389279344128,20.991422891182303,6.322389279344128,46,685384.9754120767,122.06421825630723,
daniilidis,prior_comparison,9,1,87.5378259002387,23.119347823690426,327.7959131713698,23.11934782369043,14,320499.41313273914,151.30371847303383,
daniilidis,prior_comparison,9,2,1.9510456632888866,0.341953707044602,3.014357701790148,0.3419537070446003,60,301.6891407259091,2.242354197140099,
daniilidis,prior_comparison,9,3,68.47898516231112,1.8440774681782683,68.713711360927,1.8440774681782683,39,457798.80194608145,108.34403914904729,
daniilidis,prior_comparison,12,0,83.31208304922939,6.3408967502848155,20.94459298238041,6.340896750284817,46,685577.8581832292,122.08139285838818,
daniilidis,prior_comparison,12,1,86.88071723635574,23.067416662305362,327.41047893283564,23.067416662305362,20,475977.6916675621,154.26887107701964,
